index,salary,description_tokens
108,,"['python', 'airflow', 'tableau', 'sql', 'bigquery', 'redshift', 'snowflake']"
109,,[]
110,,"['sql', 'power_bi', 'spss']"
111,,[]
112,,"['outlook', 'word', 'tableau', 'sql', 'excel', 'spss', 'visio']"
113,,"['excel', 'spreadsheet']"
114,,"['power_bi', 'tableau', 'sql']"
115,,"['sas', 'sql']"
116,,[]
117,,"['python', 'tableau', 'sql', 'excel', 'power_bi']"
118,,"['pandas', 'python', 'scikit-learn', 'sql']"
119,,['go']
120,,"['mysql', 'sap', 'python', 'postgres', 'r', 'sql', 'excel']"
121,,"['excel', 'pl/sql', 'sql']"
122,,"['vba', 'ssrs', 'python', 'ssis', 'tableau', 'r', 'sas', 'sql']"
123,,['sql']
124,,"['excel', 'sql']"
125,,"['power_bi', 'ssrs', 'mssql', 'tableau', 'bigquery']"
126,,
127,,[]
128,,
129,,"['excel', 'go', 'sql']"
130,,[]
131,,"['excel', 'go', 'sql']"
132,,"['python', 'powerpoint', 'java', 'sql', 'excel']"
133,,
134,,"['gcp', 'python', 'power_bi', 'sap', 'tableau', 'r', 'sql']"
135,,
136,,
137,,"['spark', 'python', 'r', 'scala', 'tableau', 'sql', 'power"
138,,"['python', 'r']"
139,,"['mysql', '"
140,,[]
141,,"['outlook', 'power_bi', 'python', 'r', 'qlik', 'word', 'powerpoint', 'tableau', 'excel', 'perl']"
142,,[]
143,,[]
144,,"['python', 'looker', 'r', 'tableau', 'sql', 'gdpr', 'aws']"
145,,"['outlook', 'vba', 'word', 'tableau', 'sql', 'excel']"
146,,"['word', 'excel', 'powerpoint', 'tableau', 'sql']"
147,,"['r', 'python', 'excel', 'power_bi', 'sql', 'tableau']"
148,,"['sas', 'spr"
149,,
150,,['power_
151,40Ð75 an hour,"['python', 'excel', 'power_bi', 'tableau']"
152,,"['python', 'excel', 'sas', 'sql']"
153,,"['outlook', 'azure', 'sas', 'ssrs', 'python', 'word', 'powerpoint', 'tableau', 'sql', 'excel', 'spss']"
154,,[]
155,,
156,,
157,43Ð48 an hour,
158,,"['python', 'tableau', 'sql', 'aws']"
159,,"['outlook', 'word', 'python', 'excel', 'powerpoint', 'tableau', 'sql']"
160,,
161,,"['sas', 'sql']"
162,17Ð46 an hour,[]
163,,"['python', 'tableau', 'sql', 'snowflake']"
164,,[]
165,,
166,,
167,18.33Ð28.20 an hour,
168,,
169,,
170,,['sql']
171,,"['word', 'altery"
172,,['excel']
173,,[]
174,,"['sas', 'sql']"
175,,
176,17Ð46 an hour,[]
177,,"['python', 'looker', 'r', 'airflow', 'tableau', 'sql', 'snowflake', 'aws']"
178,,
179,,[]
180,,[]
181,,
182,,['
183,,"['python', 'looker', 'r', 'airflow', 'tableau', 'sql', 'snowflake', 'aws']"
184,,[]
185,,[]
186,,"['sas', 'sql']"
187,,['sap']
188,,
189,,[]
190,,[]
191,,"['sas', 'python', 'r', 'tableau', 'sql', 'spss']"
192,,[]
193,,
194,,"['power_bi', 'power_bi', 'sharepoint', 'tableau']"
195,,
196,,
197,,"['sql', 'snowflake', 'excel', 'power_bi']"
198,,[]
199,,
200,,"['sas', 'python', 'r', 'tableau', 'sql', 'spss']"
201,,
202,,"['python', 'sql']"
203,,"['power_bi', 'power_bi', 'sharepoint', 'tableau']"
204,,
205,,"['bigquery', 'alteryx', 'excel', 'power_bi', 'tableau', 'sql']"
206,,"['sql', 'snowflake', 'excel', 'power_bi']"
207,,"['spark', 'python', 'r"
208,,"['sql', 'sno"
209,,
210,,"['spark', 'python', 'r', '"
211,,[]
212,,"['snowflake', 'python', 'tableau', 'r', 'sas', 'sql']"
213,,"['python', 'tableau', 'sql', 'snowflake', 'power_bi']"
214,,"['spark', 'python', 'r',"
215,,['pyt
216,,"['mlr', 'sql']"
217,,
218,,
219,,
220,40Ð75 an hour,['sql']
221,,"['hadoop', 'sap', 'spark', 'python', 'ssis', 'looker', 'tableau', 'sql', 'bigquery', 'snowflake', 'power_bi', 'nosql']"
222,,['sql']
223,,[]
224,,[]
225,,
226,,
227,,
228,,
229,,
230,,[]
231,,"['spark', 'looker', 'tableau', 'sql']"
232,,[]
233,75Ð125 an hour,[]
234,,
235,,[]
236,101KÐ143K a year,"['python', 'tableau', 'r', 'sql']"
237,,[]
238,,['sql']
239,15Ð25 an hour,"['excel', 'powe"
240,90KÐ110K a year,
241,,"['mysql', 'typescript', 'python', 'sql', 'redshift', 'excel', 'power_bi', 'aws']"
242,,"['python', 'spss', 'sas', 'sql']"
243,,"['python', 'r', 'jira', 'tableau', 'sql', 'redshift', 'snowflake', 'power_bi']"
244,,[]
245,,"['python', 'r']"
246,54.00Ð60.52 an hour,
247,,"['cognos', 'powerpoint', 'tableau', 'r']"
248,,"['alteryx', 'go', 'tableau', 'sql', 'excel']"
249,,
250,90KÐ130K a year,"['ssrs', 'mssq"
251,,"['spark', 'gcp', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
252,,"['python', 'looker', 'r', 'airflow', 'tableau', 'sql', 'snowflake', 'aws']"
253,,"['alteryx', 'dax', 'python', 'excel', 'power_bi', 'powerpoint', 'tableau', 'r', 'sas', 'sql']"
254,,"['hadoop', 'spark',"
255,,[]
256,,"['alteryx', 'dax', 'python', 'excel', 'power_bi', 'powerpoint', 'tableau', 'r', 'sas', 'sql']"
257,18.33Ð28.20 an hour,
258,,
259,,
260,,"['crystal', 'sas', 'jupyter', 'python', 'r', 'tableau', 'sql', 'snowflake', 'excel', 'power_bi']"
261,,"['python', 'r', 'word', 'powerpoint', 'tableau', 'sql', 'excel', 'power_bi']"
262,50Ð80 an hour,[]
263,,"['python', 'tableau', 'sql', 'snowflake']"
264,,"['power_bi', 'sql']"
265,,['sap']
266,,
267,,['c']
268,,"['snowflake', 'excel', 'sharepoint', 'splunk', 'tableau', 'sql']"
269,,"['r', 'python', 'excel', 'power_bi', 'sql', 'tableau']"
270,,"['word', 'excel']"
271,,
272,,['azure']
273,,"['python', 'tableau', 'r', 'sql']"
274,,"['cognos', 'python', 'excel', 'sap', 'tableau', 'r', 'sql']"
275,8Ð30 an hour,[]
276,,[]
277,,"['power_bi', 'powerpoint', 'go', 'tableau', 'excel']"
278,,"['python', 'r', 'tableau', 'sql']"
279,,"['python', 'sql']"
280,,"['php', 'node']"
281,,"['cognos', 'excel', 'power_bi']"
282,,['redshift']
283,,
284,,
285,,
286,,
287,,"['python', 'tableau', 'r', 'sql']"
288,,"['python', 'sql', 'ex"
289,,"['sas', 'spark', 'power_bi', 'python', 'matplotlib', 'r', 'scala', 'tableau', 'sql', 'excel', 'power_bi', 'nosql']"
290,,"['azure', 'power_bi', 'ssrs', 'ssis', 'sql', 'snowflake', 'sharepoint']"
291,,[]
292,,"['python', 'powerpoint', 'java', 'sql', 'excel']"
293,,
294,,"['outlook', 'word', 'excel']"
295,,[]
296,,"['cognos', 'python', 'excel', 'power_bi', 'sap', 'tableau', 'r', 'sql']"
297,,
298,,"['hadoop', 'shell', 'vba', 'python', 'scala', 'tableau', 'r', 'java', 'pl/sql', 'sas', 'git', 'sql', 'unix']"
299,,
300,,"['python', 'tableau', 'sql', 'visio', 'aws', 'unix']"
301,60Ð65 an hour,
302,,[]
303,,"['hadoop', 'sas', 'spark', 'javascript', 'python', 'r', 'go', 'tableau', 'sql', 'excel', 'spss', 'nosql']"
304,,['
305,,
306,,['word'
307,,[]
308,,
309,,"['word', 'sql', 'excel', 'sharepoint']"
310,,['sharepoint']
311,,[]
312,,
313,,
314,,"['python', 'sql']"
315,,"['python', 'github', 'atlassian', 'sql', 'gdpr', 'snowf"
316,,"['spark', 'gcp', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi'"
317,,
318,,"['power_bi', 'python', 'qlik', 'airflow', 'tableau', 'sql', 'redshift', 'snowfla"
319,,[]
320,,[]
321,,"['python', 'powerpoint', 'tableau', 'sql', 'excel']"
322,,"['python', 'excel']"
323,,"['power_bi', 'azure', 'tableau', 'sq"
324,,"['alteryx', 'spark', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
325,,"['crystal', 'tableau', 'sql', 'snowflake']"
326,,
327,,"['hadoop', 'spark', 'gcp', 'python', 'postgres', 'airflow', 'scala', 'sql', 'nosql']"
328,,"['word', 'excel', 'powerpoint']"
329,,"['hadoop', 'spark', 'gcp', 'python', 'postgres', 'airflow', 'scala', 'sql', 'nosql']"
330,,"['shell', 'python', 'excel', 'linux', 'pl/sql', 'git', 'sql', 'c', 'unix']"
331,,"['hadoop', 'spark', 'gcp', 'python', 'postgres', 'airflow', 'scala', 'sql', 'nosql']"
332,49.25 an hour,"['dax', 'snowflake', 'power_bi', 'shar"
333,,"['hadoop', 'spark', 'gcp', 'python', 'postgres', 'airflow', 'scala', 'sql', 'nosql']"
334,,"['hadoop', 'spark', 'gcp', 'python', 'postgres', 'airflow', 'scala', 'sql', 'nosql']"
335,,"['javascript', 'python', 'excel', 'power_bi', 'spss', 'tableau', 'r', 'sas'"
336,,['sql']
337,,"['mysql', 'postgresql', 't-sql', 'postgres', 'c', 'mongo', 'sql']"
338,,"['aws', 'sas', 'sql']"
339,,[]
340,"66,053Ð70,980 a year","['word', 'spreadsheet']"
341,60KÐ80K a year,['sql']
342,,[]
343,,"['t-sql', 'sql']"
344,100KÐ150K a year,
345,,"['ssrs', 'excel', 'power_bi', 'tab"
346,,[]
347,,"['python', 'sql']"
348,,
349,,"['power_bi', 'tableau']"
350,88KÐ105K a year,['sap'
351,,"['azure', 'c', 'sql', 'power_bi', 'nosql']"
352,,"['excel', 'powerpoint', 'pl/sql', 'sql']"
353,,"['excel', 'sql']"
354,,"['pyspark', 'spark', 'gcp', 'power_bi', 'looker', 'airflow', 'sql', 'nosql']"
355,,[]
356,,['sql']
357,,"['python', 'power_bi', 'r']"
358,,"['pandas', 'gitlab', 'python', 'git', 'go', 'jira', 'tableau', 'numpy', 'excel']"
359,,"['python', 'sql']"
360,,
361,,
362,,"['vba', 'sap', 'word', 'powerpoint', 'excel']"
363,,"['python', 'r', 'sql']"
364,,"['word', 'excel']"
365,,
366,,"['spreadsheet', 'python', 'r', 'tableau', 'sql', 'excel', 'power_bi']"
367,,['python']
368,,"['snowflake', 'azure', 'aws', 'sql']"
369,,"['python', 'sql']"
370,,['power_bi']
371,,['sql']
372,,"['outlook', 'power_bi', 'python', 'r', 'qlik', 'word', 'powerpoint', 'tableau', 'excel', 'perl']"
373,,"['mongodb', 'azure', 'python', 'postgres"
374,75KÐ80K a year,"['power_bi', 'excel']"
375,75KÐ80K a year,
376,40Ð45 an hour,
377,,"['word', 'excel']"
378,,['power_bi']
379,,"['dax', 'excel', 'power_bi', 'azure', 'sql']"
380,,"['excel', 'sql']"
381,,"['t-sql', 'python', 'sql', 'sharepoint']"
382,,"['spark', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
383,,"['spark', 'python', 'looker', 'r', 'airflow', 'scala', 'tableau', 'sql', '"
384,,"['mongodb', 'azure', 'python', 'postgres"
385,,
386,,"['spark', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
387,,"['power_bi', 'tableau', 'sql']"
388,10Ð15 an hour,[]
389,,"['qlik', 'excel']"
390,40Ð45 an hour,
391,10Ð20 an hour,"['javascript', 'excel', 'spss', 'sas', 'sql']"
392,,"['hadoop', 'outlook', 'sas', 'spark', 'python', 'c', 'word', 'powerpoint', 'tableau'"
393,,"['spark', 'python', 'looker', 'r', 'airflow', 'scala', 'tableau', 'sql', '"
394,,"['python', 'tableau', 'sql', 'snowflake']"
395,,
396,,"['vba', 'sap', 'word', 'powerpoint', 'excel']"
397,,"['mysql', 'spreadsheet', 'python', 'tableau',"
398,40Ð75 an hour,[]
399,,"['alteryx', 'ssis', 'power_bi', 'azure', 'tableau', 'sql']"
400,,"['excel', 'sharepoint']"
401,,[]
402,,"['pandas', 'gitlab', 'python', 'go', 'tableau', 'sql', 'numpy', 'snowflak"
403,,[]
404,,
405,,
406,,[]
407,,"['gcp', 'python', 'r', 'sql', 'bigquery', 'redshift', 'aws']"
408,,"['mongodb', 'azure', 'shell', 'java', 'sql', 'no-sql', 'splunk']"
409,,[]
410,,
411,,"['spark', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
412,,"['mysql', 'spreadsheet', 'python', 'tableau',"
413,,[]
414,,['ex
415,,[]
416,,"['excel', 'sql']"
417,,"['c', 'jira', '"
418,,"['sap', 'spreadsheet', 'python', 'tableau', 'sql', 'excel', 'power_bi']"
419,17Ð22 an hour,
420,,"['word', 'excel', 'powerpoint', 'visio']"
421,120KÐ140K a year,
422,,
423,,"['vba', 'sap', 'word', 'powerpoint', 'excel']"
424,70Ð80 an hour,"['outlook', 'python', 'excel', 'power_bi', 'powerpoint', 'aws', 'sql']"
425,,"['word', 'excel', 'powerpoint', 'visio']"
426,,
427,,"['spark', 'python', 'r', 'sql']"
428,,"['spark', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
429,130KÐ160K a year,"['c/c++', 'python', 'java', 'sas']"
430,,['sql']
431,,
432,,"['word', 'excel', 'powerpoint', 'matlab']"
433,,"['spark', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
434,,"['spark', 'python', 'r', 'sql']"
435,,['sql']
436,,"['spark', 'python', 'r', 'sql']"
437,50Ð60 an hour,['power_bi']
438,,['excel']
439,,"['spark', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
440,,"['spark', 'python', 'r', 'sql']"
441,,"['alteryx', 'tableau', 'sql']"
442,,[]
443,,
444,,"['spark', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
445,,"['spark', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
446,,"['power_bi', 'dax', 'python', 'excel', 's"
447,,"['spark', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
448,,"['alteryx', 'tableau', 'sql']"
449,,"['spark', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
450,,
451,,"['pyspark', 'spark', 'gcp', 'power_bi', 'looker', 'airflow', 'sql', 'nosql']"
452,,['sql']
453,,"['spark', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
454,,"['crystal', 'alteryx', 'excel', 'tableau', 'elixir', 'sql']"
455,,"['python',"
456,,
457,,['excel']
458,,
459,,"['python', 'power_bi', 'r', 'sas', 'sql']"
460,,
461,,
462,"51,188.40Ð52,200.00 a year",['tableau']
463,,['sql']
464,,[]
465,,"['asp.net', 'ssrs', 'sql', 'c']"
466,,"['excel', 'sql']"
467,,"['dax', 'python', 'power_bi', 'sql']"
468,,"['excel', 'spreadsheet']"
469,,[]
470,75KÐ95K a year,
471,,"['word', 'powerpoint', 'excel']"
472,,"['azure', 'c', 'sql', 'power_bi', 'nosql']"
473,,"['dax', 'python', 'power_bi', 'sql']"
474,,['power_bi']
475,,"['python', 'r']"
476,,"['power_bi', 'tableau', 'sql']"
477,,"['postgresql', 'github', 'jira', 'sql', 'bigquery', 'redshift', 'snowflake']"
478,100KÐ120K a year,"['outlook', 'powershell', 'word', 'python', 'excel', 'sql', 'c']"
479,,"['python', 'excel', 'power_bi', 'azure', 'tableau', 'c++', 'sql']"
480,,"['spark', 'python', 'looker', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
481,,"['spark', 'py"
482,,"['css', 'word', 'excel', 'tableau', 'sql']"
483,63Ð65 an hour,
484,,"['excel', 'spreadsheet']"
485,,['excel']
486,,"['alteryx', 'sap', 'python', 'r', 'sql']"
487,18.33Ð28.20 an hour,['s
488,,"['excel', 'power_bi', 'looker', 'tableau', 'sql']"
489,,
490,,['word']
491,,"['python', 'tableau', 'r', 'sas', 'sql']"
492,,"['spark', 'power_bi', 'python', 'looker', 'r', 'scala', 'tableau', 'sql', 'bigquery', 'power_bi']"
493,,['word']
494,,"['postgresql', 'github', 'jira', 'sql', 'bigquery', 'redshift', 'snowflake']"
495,,"['looker', 'sql']"
496,,
497,,"['excel', 'sql']"
498,,"['go', 'sap']"
499,18.33Ð28.20 an hour,
500,,['py
501,,"['word', 'powerpoint', 'excel']"
502,,"['tableau', 'c']"
503,,[]
504,,"['cognos', 'sql']"
505,,"['python', 'r', 'tableau', 'sql']"
506,18.33Ð28.20 an hour,
507,,"['power_bi', 'snowflake', 'python', 'tableau', 'r', 'perl', 'sql']"
508,,"['power_bi', 'excel', 'powerpoint', 'tableau']"
509,,"['power_bi', 'tableau', 'power_bi']"
510,8Ð12 an hour,"['power_bi', 'tableau', 'sql']"
511,,
512,,"['alteryx', 'powe"
513,,"['word', 'excel', 'powerpoint', 'sharepoint']"
514,,"['python', 'excel', 'power_bi', 'powerpoint', 'spss', 'spreadsheet', 'sas', 'c']"
515,,"['spark', 'gcp', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
516,,"['python', 'power_bi', 'tableau', 'sas', 'sql']"
517,,"['azure', 'html', 'sas', 'gcp', 'javascript', 'python', 'looker', 'r', 'microstrategy', 'tableau', 'sql', 'redshift', 'excel', 'power_bi', 'aws']"
518,,[]
519,,"['snowflake', 'azure', 'sql']"
520,,
521,,"['alteryx', 'sap', 'python', 'r', 'sql']"
522,,[]
523,,"['hadoop', 'powershell', 'plotly', 'vba', 'sas', 'pandas', 'jupyter', 'spark', 'visual_basic', 'power_bi', 'shell', 'javascript', 'python'"
524,15Ð35 an hour,[]
525,,"['sas', 'spark', 'power_bi', 'python', 'matplotlib', 'r', 'scala', 'tableau', 'sql', 'excel', 'power_bi', 'nosql']"
526,,"['sap', 'word', 'powerpoint', 'sql', 'excel']"
527,,"['php', 'bigquery', 'cognos', 'gcp', 'javascript', 'vba', 'sass', 'mysql', 'excel', 'power_bi', 'azure',"
528,,"['tableau', 'sql', 'redshift']"
529,30Ð125 an hour,[]
530,,"['sap', 'azure', 'tableau']"
531,,"['cognos', 'sql']"
532,,"['power_bi', 'snowflake', 'python', 'tableau', 'r', 'perl', 'sql']"
533,100KÐ145K a year,"['redshift', 'python', 'aws', 'sql']"
534,,['python
535,,"['mongodb', 'azure', 'python', 'postgres', 'r', 'sql', 'snowflake', 'nosql', 'aws']"
536,,"['python', 'tableau', 'r', 'sql']"
537,,"['vba', 'redshift', 'pyt"
538,,['jira']
539,,['excel']
540,,"['git', 'aws']"
541,,"['word', 'excel', 'sql']"
542,,[]
543,,"['excel', 'powerpoint', 'assembly']"
544,,['power_bi']
545,,['excel']
546,,"['power_bi', 'vba', 'excel', 'sql']"
547,,"['vba', 'sql', 'excel']"
548,,
549,,[]
550,,
551,,"['vba', 'excel', 'sql']"
552,,"['power_bi', 'python']"
553,,"['asp.net', 'crystal', 'ssrs', 'ssis', 'pl/sql', 'c++', 'vb.net', 'sql', 'c']"
554,,"['python', 'powerpoint', 'jira', 'tableau', 'excel', 'power_bi', 'visio']"
555,,
556,,[]
557,,"['git', 'aws']"
558,,"['python', 'pytorch', 'tensorflow', 'java', 'aws']"
559,,[]
560,,"['sas', 'python', 'r', 'sql',"
561,,"['javascript',"
562,,
563,,"['python', 'powerpoint', 'jira', 'tableau', 'excel', 'power_bi', 'visio']"
564,,"['pyspark', 'spark', 'gcp', 'power_bi', 'looker', 'airflow', 'sql', 'nosql']"
565,,"['python', 'power_bi', 'go', 'tableau', 'sas', 'sql']"
566,,"['spark', 'gcp', 'python', 'r', 'scala', 'tableau', 'sql', 'power_bi']"
567,,[]
568,,"['spark', 'gcp', 'python', 'go', 'scala', 'nosql', 'azure', 'sql']"
569,,['sql']
570,,"['python', 'tableau', 'sql']"
571,,"['cognos', 'sql']"
572,,
573,,"['word', 'spreadsheet']"
574,,"['vba', 'excel', 'powe"
575,,"['sas', 'sql']"
576,,"['dax', 'power_bi']"
577,35Ð38 an hour,[]
578,,"['python', 'power_bi', 'tableau', 'r', 'sql']"
579,,
580,18.33Ð28.20 an hour,
581,,"['python', 'power_bi', 'azure', 'tableau', 'c++', 'sql']"
582,,
583,,"['sas', 'sql']"
584,,"['hadoop', 'python', 'r', 'sql']"
585,,"['azure', 'power_bi', 'python', 'git', 'c', 'vue', 'sql', 'aws']"
586,17Ð46 an hour,[]
587,18.33Ð28.20 an hour,
588,,"['hadoop', 'python', 'r', 'go', 'tableau', 'sql', 'power_bi', 'terminal']"
589,,"['word', 'powerpoint', 'tableau', 'excel']"
590,,[]
591,,"['python', 'power_bi', 'tableau', 'r', 'sql']"
592,30Ð35 an hour,[]
593,,"['bigquery', 'alteryx', 'python', 'excel', 'power_bi', 'looker', 'tableau', 'r', 'sas', 'sql', 'nltk']"
594,,"['atlassian', 'jira', 'tableau', 'sql', 'snowflake', 'excel']"
595,18.33Ð28.20 an hour,
596,,"['visual_basic', 'vba', 'alteryx', 'ssrs', 'excel', 'ssis', 'tableau', 'sas', 'sql']"
597,,"['outlook', 'power_bi', 'word', 'powerpoint', '"
598,,"['sql', 'excel', 'power_bi']"
599,,"['azure', 'power_bi', 'python', 'git', 'c', 'vue', 'sql', 'aws']"
600,,"['python', 'ssis', 'sql']"
601,,"['vba', 'excel']"
602,,"['azure', 'gcp', 'julia', 'python', 'r', 'tableau', 'sql', 'rshiny', 'aws']"
603,18.33Ð28.20 an hour,
604,,"['python', 'tableau', 'sql']"
605,"63,050Ð130,950 a year","['sas', 'r', 'matlab', 'spss']"
606,,
607,,"['pandas', 'gitlab', 'python', 'git', 'go', 'jira', 'numpy', 'excel']"
608,,"['word', 'excel', 'powerpoint', 'tableau', 'sql']"
609,,"['python', 'power_bi', 'azure', 'tabl"
610,,
611,,['excel']
612,,[]
613,,
614,18.33Ð28.20 an hour,
615,,"['word', 'powerpoint', 'tableau', 'sql', 'snowflake', 'excel']"
616,,"['alteryx', 'power_bi', 'ssis', 'tableau', 'sql', 'excel']"
617,,"['excel', 'powerpoint']"
618,,['sql']
619,,"['python', 'go', 'tableau', 'sql', 'excel', 'power_bi']"
620,,"['hadoop', 'powershell', 'plotly', 'vba', 'sas', 'pandas', 'jupyter', 'spark', 'visual_basic', 'power_bi', 'shell', 'javascript', 'python'"
621,,
622,,['sharepoint']
623,,"['assembly', 'l"
624,,"['python', 'docker', 'r']"
625,,
626,,"['hadoop', 'spark', 'pyspark', 'shell', 'airflow', 'python', 'scala', 'nosql', 'azure', 'aw"
627,,['sap']
628,,"['spark', 'python', 'java', 'sql']"
629,,
630,,"['go', 'sql', 'excel', 'visio']"
631,,"['powerpoint', 'sql', 'excel', 'power_bi', 'sharepoint']"
632,,
633,,"['outlook', 'spreadsheet', 'word', 'sql', 'excel']"
634,,"['sas', 'spark', 'power_bi', 'python', 'matplotlib', 'r', 'scala', 'tablea"
635,100KÐ145K a year,"['redshift', 'python', 'aws', 'sql']"
636,,[]
637,,
638,70KÐ85K a year,"['power_bi', 'word', 'ssrs', 'excel', 'ssis', 'power_bi', 'powerpoint', 'visio'"
639,,"['sas', 's"
640,50Ð80 an hour,[]
641,65Ð70 an hour,
642,,"['t-sql', 'python', 'r', 'pl/sql', 'sq"
643,,"['python', 'spreadsheet', 'tableau', 'r']"
644,20Ð30 an hour,
645,,
646,,"['vba', 'mssql', 'java', 'sql', 'c']"
647,,
648,,
649,,
650,,
651,,"['sql', 'excel', 'power_bi']"
652,,"['python', 'jira', 'aws']"
653,,
654,,"['python', 'excel',"
655,,"['python', 'tableau', 'r', 'sql']"
